Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
135,7.9949,44,-34,-54,-29.3,-29.6,14.6,137,234,276,270,-95,-114,-25
136,17.297,81,-23,-112,14.7,13,13.9,137,380,425,418,-81,-103,-48
137,32.681,159,46,1,37.4,27.4,27.3,127,400,449,457,-67,-70,-41
138,25.151,65,9,31,2.6,-18.6,-0.3,126,351,376,389,-58,-88,-37
139,12.553,14,15,48,-14.3,-27.2,-13,128,337,348,358,-87,-114,-48
140,9.7382,48,27,57,-11.4,-17.8,-7,137,369,409,413,-69,-105,-54
141,10.165,160,72,103,-7.3,-5.5,-6.7,139,417,451,462,-60,-93,-41
142,6.9334,176,110,152,-8.4,-0.6,-15.3,132,441,464,469,-21,-52,-49
143,0.916,22,-54,-1057,123.1,215.7,215.7,105,82,105,91,-13,-68,-46
144,6.243,329,447,593,36.9,52.8,84.7,130,153,163,163,73,96,-8
145,12.805,129,84,72,-11.4,-5.8,38.8,136,190,218,205,-74,-87,-16
146,17.315,43,-42,-75,-40.5,-41.4,-0.3,137,274,299,308,-91,-114,-18
147,32.524,39,-21,-110,2.5,-0.7,7.5,136,379,411,416,-41,-73,-42
148,46.932,123,59,-6,24.9,18.1,20.4,133,340,389,380,-41,-57,-26
149,36.804,88,-13,28,3.5,-12.2,-0.6,131,289,291,310,-56,-76,-33
150,19.781,44,8,69,-8.2,-19.6,-5.3,129,234,222,239,-71,-91,-52
151,11.454,45,43,94,-6.3,-12.1,1.6,134,276,303,309,-58,-97,-54
152,7.0226,163,89,99,2.8,1,-1.8,131,388,403,422,-63,-94,-46
153,4.6957,201,124,146,5.1,10.3,-6.2,140,453,482,488,5,-29,-54
154,0.96108,86,-994,-1045,292.6,-116.9,292.6,105,82,105,91,-14,-57,-40
155,5.3769,100,470,580,31.1,52.9,40.6,130,153,163,163,52,82,0
156,12.957,106,203,155,-19.2,-9.3,-10.9,136,190,218,205,-89,-93,-11
157,23.563,51,63,-22,-42.8,-40.9,-33.7,137,274,299,308,-76,-100,-24
158,39.296,11,57,25,-21.4,-24.2,-18.2,136,379,411,416,-29,-58,-29
159,44.194,17,93,54,-2.2,-4.6,-1.6,133,340,389,380,-50,-75,-22
160,31.188,94,28,-54,14.6,6.7,11.1,131,289,291,310,-73,-91,-27
161,18.872,132,-6,34,15.6,1.2,13.6,129,234,222,239,-63,-84,-31
162,16.161,128,15,132,11.7,-3.7,11.6,134,276,303,309,-46,-77,-38
163,6.8126,118,118,102,23.3,9.2,11.2,131,388,403,422,-59,-92,-42
164,3.4545,167,138,89,31.3,18.9,13.8,140,453,482,488,10,-24,-53
165,0.59043,143,371,-990,308.2,-101.3,-101.3,109,86,94,92,0,-35,-38
166,2.5839,118,497,664,27.9,53.1,38.6,140,131,151,152,29,59,15
167,6.1361,60,203,224,-13.8,-1.2,-11.7,144,180,223,213,-94,-101,-4
168,14.73,27,89,20,-29.4,-24.1,-30.2,132,290,309,319,-79,-104,-20
169,29.821,50,98,91,-21.9,-27.3,-25.2,142,337,368,392,-51,-62,-35
170,27.74,-13,96,101,-8.1,-15.2,-11.3,141,299,336,340,-61,-80,-30
171,15.724,26,54,-81,21.7,11.7,20.9,130,267,282,286,-60,-83,-18
172,10.281,113,33,-39,21.5,7.6,19.8,133,205,200,224,-50,-65,-28
173,12.093,148,18,76,7.8,-5.3,4.6,139,297,315,331,-48,-58,-35
174,4.7451,85,72,103,11.2,0.3,5.5,139,394,422,430,-51,-77,-37
175,1.0029,124,508,703,22.9,48.8,50,140,131,151,152,30,62,15
176,2.0434,6,154,257,-8.4,4.4,-4.7,144,180,223,213,-84,-96,-5
177,4.2701,-29,59,35,-13.4,-5.7,-19.2,132,290,309,319,-87,-112,-9
178,9.6563,98,104,87,-19.2,-25.4,-27.7,142,337,368,392,-68,-80,-37
179,10.807,29,78,124,-17.9,-27.1,-23.4,141,299,336,340,-64,-81,-18
180,6.1433,-52,49,-46,17,8.3,22,130,267,282,286,-65,-78,-12
181,3.6765,49,67,-58,17.7,9.8,22.5,133,205,200,224,-75,-83,-20
182,3.4714,132,68,17,-2.8,-9.1,-3,139,297,315,331,-70,-85,-22
183,3.1645,86,40,102,-12.1,-11.6,-8.2,139,394,422,430,-54,-67,-24
184,1.1995,-30,-60,-10,-0.7,3.1,-6.6,124,274,282,293,-72,-93,-28
185,2.3614,121,72,49,-3.1,-4.8,-13.7,133,337,354,375,-63,-82,-34
186,3.3676,145,81,115,-35.2,-38.6,-42.7,133,364,387,401,-34,-52,-25
187,2.4851,15,-35,107,-13.1,-15.1,-8.5,124,361,398,386,-41,-57,-30
188,1.4599,16,48,131,4,1.4,12.4,127,307,334,346,-47,-70,-25
189,0.76027,-22,66,-9,-10.9,-15.6,-12.2,130,204,208,224,-124,-139,-21
