Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
181,3.6765,1459,1508,1526,1401,71.4,89.1,81.2,93.9,133,205,200,224,214,139,131,111
182,3.4714,1431,1563,1499,1448,87.2,84.4,78.1,84.2,139,297,315,331,218,148,133,111
183,3.1645,1422,1508,1462,1524,92.2,80.1,80.6,84,139,394,422,430,210,156,143,119
184,1.1995,1357,1327,1297,1347,58.3,57.6,61.4,51.7,124,274,282,293,179,107,86,58
185,2.3614,1390,1511,1462,1439,79.4,76.3,74.6,65.7,133,337,354,375,197,134,115,81
186,3.3676,1359,1504,1440,1474,103.8,68.6,65.2,61.1,133,364,387,401,196,162,144,119
187,2.4851,1459,1474,1424,1566,73.6,60.5,58.5,65.1,124,361,398,386,192,151,135,105
188,1.4599,1463,1479,1511,1594,61.1,65.1,62.5,73.5,127,307,334,346,209,162,139,114
189,0.76027,1420,1398,1486,1411,73.6,62.7,58,61.4,130,204,208,224,230,106,91,70
190,1.0561,1517,1544,1491,1366,82.6,59,74.8,61,130,344,369,365,258,167,137,87
191,1.71,1550,1586,1547,1485,88,70.4,82.8,75.2,124,390,433,454,242,202,182,132
192,1.8124,1602,1559,1632,1650,101.2,78.6,74,93,112,362,418,426,220,199,161,123
193,1.5044,1577,1591,1623,1671,87.8,77.5,76.8,91.5,127,353,393,412,195,163,142,110
194,2.3537,1512,1608,1571,1651,75.6,81.5,84.5,94.5,127,353,374,398,237,178,134,115
195,3.2853,1420,1559,1496,1528,82.9,84.1,76.7,103.8,134,354,404,415,223,181,153,116
196,2.8166,1425,1556,1491,1527,89.3,79.9,72.4,91.5,146,329,364,387,201,151,132,104
197,0.30435,2663,2712,2841,1680,270.9,295.9,387.7,409.5,99,90,85,92,300,216,158,125
198,2.2643,1966,2061,2210,2421,55.1,114.2,153.6,189.8,135,160,169,182,58,127,162,154
199,3.5576,1477,1572,1546,1853,61,77.1,83.6,131.1,137,207,218,223,122,30,22,20
200,3.86,1411,1448,1422,1395,78.2,59.2,58.9,89.6,139,227,240,245,239,111,85,69
201,7.3524,1516,1614,1507,1421,68,78.3,84.6,72.4,139,368,394,393,249,179,140,87
202,13.319,1505,1664,1544,1508,72.3,99.3,97.6,89.8,128,373,403,406,219,180,174,127
203,9.9909,1516,1559,1550,1551,113.6,104.7,85.5,106.4,121,296,322,331,229,188,155,119
204,5.2554,1525,1544,1554,1572,108.9,90.4,79.3,93.3,127,295,302,305,216,167,150,118
205,5.6384,1498,1576,1536,1547,94.3,84.8,79.4,88.2,132,263,286,285,216,171,150,121
206,7.8977,1406,1570,1480,1513,91.4,83.4,84.1,89.4,125,285,332,348,217,173,154,118
207,5.1262,1387,1545,1485,1528,95.7,81.7,87.1,80.9,135,351,369,391,199,152,139,104
208,0.95866,2642,2687,2624,1657,240.5,269.7,321.2,394.5,99,90,85,92,263,216,170,135
209,6.07,1660,2014,2129,2348,59.7,101.3,125.6,172.5,135,160,169,182,46,102,139,135
210,12.268,1439,1566,1499,1524,70.1,69.6,76.9,134.7,137,207,218,223,114,33,20,13
211,16.391,1406,1450,1372,1352,87.8,58.5,58.2,102.4,139,227,240,245,241,103,80,59
212,33.132,1525,1606,1502,1413,69.2,83.9,82.2,83.1,139,368,394,393,224,166,133,83
213,46.357,1502,1661,1548,1503,67.3,104.7,94.7,94.6,128,373,403,406,206,150,136,108
214,30.901,1486,1551,1495,1517,107.3,109.9,88.7,107,121,296,322,331,212,152,126,107
215,17.034,1495,1509,1510,1543,110.7,96.4,83.5,97.7,127,295,302,305,206,142,128,103
216,10.455,1482,1530,1509,1539,98.9,87.5,81.1,91.9,132,263,286,285,197,156,139,111
217,6.704,1399,1559,1471,1502,88.3,81,82.8,81.6,125,285,332,348,211,148,134,111
218,5.0788,1363,1539,1473,1515,90.9,82.5,90.3,75.6,135,351,369,391,203,142,133,98
219,1.9068,2628,2650,2574,1571,193.8,316.9,409.5,409.5,101,80,97,92,248,235,191,140
220,12.213,1623,1952,2070,2216,62.5,99.4,115.3,147.2,134,160,177,184,44,96,133,128
221,27.755,1400,1529,1484,1472,78.7,67.3,72.9,117.5,144,211,233,219,127,37,25,5
222,37.118,1389,1432,1347,1314,99.6,59.1,58.2,99.3,143,246,264,257,245,119,87,58
223,54.755,1520,1559,1499,1410,75.9,78.4,75.2,83.4,132,327,348,365,208,177,137,89
224,60.806,1495,1618,1554,1489,67.6,92.5,85.7,88,126,258,279,273,183,154,137,105
225,47.247,1466,1554,1453,1494,99.6,103.1,87.4,99,123,189,186,189,193,144,126,97
226,27.493,1470,1514,1478,1539,106.1,97.9,86.5,100.8,129,190,174,180,186,133,121,87
227,13.263,1462,1507,1505,1556,97.6,91.3,85.5,99.2,140,159,172,161,198,159,129,96
228,5.662,1388,1551,1477,1487,82.4,85.2,83.4,80.6,120,176,217,226,219,155,133,94
229,3.9462,1340,1541,1464,1486,82.5,87.6,92.8,76.3,123,331,357,363,202,157,138,101
230,1.9916,2549,2635,1555,1504,116.9,409.5,0,409.5,101,80,97,92,251,232,196,149
231,11.642,1525,1625,1995,2105,57.2,88.3,110.1,97.8,134,160,177,184,54,89,123,124
232,24.689,1324,1430,1527,1479,79.9,60.7,70.6,69,144,211,233,219,138,36,21,10
233,37.79,1342,1393,1405,1320,102,59.2,61.1,68.3,143,246,264,257,253,124,91,66
234,47.272,1458,1469,1515,1483,89,67.6,64.8,70.8,132,327,348,365,217,171,140,109
235,53.299,1440,1457,1533,1494,74.8,72.6,70.2,73.2,126,258,279,273,198,154,147,115
