Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
471,0.17014,281,314,245,30.6,100.2,-97.7,110,116,116,121,-41,-56,-19
472,0.13578,471,592,616,147.7,155.6,31.6,148,141,146,143,41,26,-11
473,0.64067,228,264,563,34.8,37,57.3,162,206,247,240,-15,-29,18
474,0.055606,58,144,231,4.7,13.9,30.8,165,239,265,267,-42,-65,-12
475,0.055436,78,117,9,-0.8,3.1,18.2,177,243,267,273,-5,-9,-17
476,0.16792,35,38,-38,1.9,3.8,12.6,180,244,266,255,-6,-7,-13
477,0.0309,-52,-87,-133,-0.5,2.1,2.8,170,244,270,258,-14,-26,-3
478,0.11238,-32,-113,-136,-2.2,4.8,-6.9,178,243,281,282,-15,-28,2
479,0.13716,12,-33,-39,7.1,12.5,-1.2,182,263,266,287,-17,-22,-19
480,0.32702,3,19,9,15.3,16.5,6.3,175,271,275,295,-11,-29,-20
481,1.7786,-1511,-1620,-1701,-38.3,77.1,112.4,79,95,110,101,-94,-112,-25
482,0.19587,738,723,988,73.5,87.5,209.1,143,92,106,95,19,12,-37
483,0.29823,224,202,2,8.8,22.1,67.6,147,175,198,189,-43,-43,0
484,0.72502,29,84,90,-1.1,12.2,34.2,142,174,211,195,-48,-55,-7
485,0.18563,81,111,352,6.1,11.4,19.3,152,176,215,188,-24,-38,4
486,0.1344,-5,53,197,1.6,5.9,3.7,156,189,209,214,-34,-50,16
487,0.047629,-129,-99,-136,-5,-2.2,-4.6,161,187,207,212,-31,-43,-2
488,0.033576,15,40,-27,5.3,8.2,10.6,158,182,217,216,-16,-18,-18
489,0.1283,143,182,119,15,18.9,28.2,152,188,205,207,-27,-31,-12
490,0.13746,80,138,76,12.5,16.6,16.2,156,187,200,202,-22,-31,-21
491,0.12602,63,103,75,10.1,10.4,10.3,179,202,217,219,-29,-45,-18
492,0.12153,90,99,131,10.7,8,20.1,170,210,221,218,-36,-34,-4
493,4.6677,-1464,-1424,-48,-37.9,29.7,46.9,60,113,107,110,-94,-103,-30
494,0.86545,279,342,-1234,149.2,157.8,220.8,105,91,104,92,-39,-57,-26
495,0.28615,792,909,-343,35.7,54.3,138.6,165,128,143,137,12,10,23
496,3.4071,104,157,620,-2.7,11.4,46.6,134,202,225,211,-66,-61,-3
497,9.4342,84,98,271,-0.3,9.8,17.2,153,180,206,190,-4,1,-16
498,0.30447,132,139,315,1.2,8.7,7.6,142,182,208,211,-27,-18,-11
499,0.35794,-58,-51,-17,-11.5,-8.1,-13.9,152,186,197,205,-16,-32,-9
500,0.079132,-27,-16,-25,-9,-7.2,-15.6,157,196,206,213,-20,-46,16
501,0.31601,123,129,124,1.7,5.1,-5.8,158,198,208,215,-29,-61,23
502,0.33122,144,163,178,13.4,13.4,7.5,164,196,205,213,-11,-30,-11
503,0.015944,78,114,127,13.5,10.7,8.5,174,210,210,228,-4,-34,-18
504,0.0415,61,112,107,13.8,9.9,13.5,183,211,211,224,-40,-36,-4
505,6.6846,-137,-1182,32,-21.4,30.6,40.8,60,113,107,110,-54,-65,-12
506,3.0224,60,168,154,263.9,242.3,147.3,105,91,104,92,-93,-108,3
507,0.6902,358,415,189,63.5,79.7,126.7,165,128,143,137,44,40,9
508,2.9357,106,598,550,6.9,18.4,49.8,134,202,225,211,-48,-34,-5
509,0.53039,46,84,166,-5.7,5.9,14.6,153,180,206,190,-14,-27,-1
510,0.30949,136,157,298,1.4,9.6,7.9,142,182,208,211,-23,-25,-12
511,0.4372,-34,-41,78,-6.2,-3,-10.1,152,186,197,205,-9,-18,-25
512,0.12009,-42,-57,29,-6.2,-5.1,-13.9,157,196,206,213,-23,-32,-9
513,0.38736,74,61,132,0.2,2.3,-9.6,158,198,208,215,-21,-34,-10
514,1.1596,145,154,203,10.8,11.6,8.1,164,196,205,213,-16,-20,2
515,0.01315,88,110,141,10.9,9.1,12.4,174,210,210,228,-5,-27,-7
516,0.0049377,75,106,112,12.5,10.3,18.1,183,211,211,224,-52,-38,-27
517,17.351,-48,69,-59,-42.8,2.8,46.1,77,93,85,95,-28,-28,-21
518,19.269,-26,97,-11,41.3,24.4,146.6,76,98,101,93,-83,-81,-27
519,1.373,265,369,139,196.9,120.9,120.7,141,95,109,106,60,72,-19
520,0.30825,644,646,484,48.2,34.9,70.4,139,179,197,190,16,26,-3
521,0.16972,11,89,57,-8.9,-6.8,18.2,146,190,208,212,-26,-46,-5
522,0.22021,133,224,240,-1.6,-0.7,11.1,138,177,203,210,-18,-32,-11
523,0.19634,-12,37,229,1.7,0.2,-2,148,190,207,206,-25,-32,-27
524,0.076808,-76,-75,143,0.6,-0.7,-7.2,163,199,211,212,-32,-23,-34
525,0.03137,-39,-52,155,4.4,4.7,-5.5,169,204,218,223,-28,-18,-32
526,0.13741,87,89,210,10.5,15,9,169,206,219,227,-39,-18,-11
527,0.026554,79,74,149,9.1,13.2,17.9,169,214,225,234,-23,-32,-7
528,0.010248,91,76,118,9.5,13.7,29.2,181,210,228,229,-27,-37,-16
529,2.2413,-146,-28,-105,-61.5,-13.8,21.2,77,93,85,95,-34,-16,-37
530,4.0101,-46,64,-12,9.8,6.5,42.4,76,98,101,93,-56,-50,-30
531,1.1625,199,313,187,209.8,118.8,121.8,141,95,109,106,17,3,7
532,0.22848,560,628,490,58.3,46.1,93.5,139,179,197,190,49,35,2
533,0.13771,17,48,-49,-7.1,-9.4,23.3,146,190,208,212,-38,-41,-18
534,0.20616,151,192,164,-4.7,-6.4,12,138,177,203,210,-22,-30,-2
535,0.21316,33,79,242,0.7,-1.4,0,148,190,207,206,-32,-39,0
536,0.10784,-72,-58,137,1.7,0.6,-4.5,163,199,211,212,-31,-40,4
537,0.016014,-63,-71,129,5.5,6.4,-3.8,169,204,218,223,-25,-48,2
538,0.019533,55,51,180,11.9,18.5,8.1,169,206,219,227,-41,-36,-14
539,0.14364,51,50,121,11.2,17.5,16.7,169,214,225,234,-20,-27,-18
540,0.11249,67,70,91,12.2,18.1,26.1,181,210,228,229,-22,-32,-7
541,1.5082,-230,-74,-68,-75.9,-37.1,-127.9,78,82,96,93,-46,-34,-26
542,1.7627,-131,-85,-35,-42.3,18.7,-106,75,92,101,89,-56,-65,2
543,0.59441,113,218,198,161.7,111,94.5,116,92,111,98,-28,-44,-2
544,0.10729,460,591,506,56.1,59.5,113.3,158,132,155,155,49,42,-7
545,0.13193,-10,25,-168,-6,-2.7,28.5,145,187,206,221,-64,-66,-12
546,0.53551,129,118,40,-9.2,-7,11.1,158,171,205,211,-14,-27,-5
547,0.53938,85,82,222,-2.7,-1.8,3.9,154,188,216,214,-11,-22,4
548,0.1078,-41,-47,106,0.9,0.8,0.6,170,198,223,219,-28,-37,-7
549,0.009818,-69,-71,76,5.5,6.8,-0.7,169,208,222,232,-18,-43,-10
550,0.013231,38,36,149,11.1,18.3,6,166,203,224,236,-25,-41,-7
551,0.29876,32,33,86,11.5,17.9,12.1,173,217,229,230,-7,-25,-14
552,0.17474,37,60,42,14.8,19.7,18.8,177,208,239,235,-41,-25,-23
553,1.5128,-162,-56,92,-61.1,0,-127.8,78,82,96,93,-29,-49,-1
554,1.0663,-139,-189,72,7.7,53.3,-137.3,75,92,101,89,-23,-45,-9
555,0.34945,91,74,342,181.2,169,7.5,116,92,111,98,-11,-17,-30
556,0.12701,222,351,473,78,126.2,119.6,158,132,155,155,59,37,2
557,0.31074,-12,142,-166,8.8,24.3,40.9,145,187,206,221,-53,-58,-11
558,0.70167,-2,78,-126,-7,3.6,11,158,171,205,211,1,-33,-13
559,0.44644,102,62,104,-4.2,2.8,15.9,154,188,216,214,-1,-21,-2
560,0.12643,-9,-51,-5,-1.6,4,12.5,170,198,223,219,-18,-18,-18
561,0.0075533,-64,-76,-53,-0.3,6.1,4.9,169,208,222,232,-16,-23,-20
562,0.010928,75,90,105,5,13.4,-0.1,166,203,224,236,-6,-24,0
563,0.12168,75,75,76,6.3,11.8,0.8,173,217,229,230,0,-16,-2
564,0.059909,36,47,1,8.2,10,3.1,177,208,239,235,-13,-15,2
565,1.1992,-58,-26,63,-58,0,-120.6,69,89,108,95,-25,-32,-15
566,0.47184,-33,-135,139,1.2,57.3,-104.7,77,90,113,91,-17,-22,-31
567,0.30084,136,103,464,69.7,100.6,-20.3,120,88,110,94,-12,-39,-11
568,0.3173,291,401,621,142.4,179.3,111.7,164,122,137,136,47,12,3
569,0.31982,46,228,-11,21.2,36.4,46.4,149,181,196,204,-25,-32,-12
570,0.15755,-19,135,-96,0.9,10.7,16.1,165,180,208,207,-6,-31,-25
571,0.22621,84,87,56,-1.9,4.2,15.4,163,190,217,228,-5,-8,-18
572,0.14862,-8,-40,-47,-2.5,4,11.2,179,206,225,229,-11,-24,0
573,0.029031,-68,-107,-114,-3.9,4.3,2.7,167,218,223,231,-15,-28,-8
574,0.010133,79,57,53,1.8,11.4,-3.1,167,209,226,236,-11,-20,2
575,0.012188,98,89,87,5.9,11.8,0.099998,175,225,231,235,-7,-3,-13
576,0.013481,58,55,23,5.2,7.6,1.3,177,225,230,240,-12,-25,6
577,0.40307,31,43,25,-57.1,0,-152.9,69,89,108,95,-40,-39,-19
578,0.32074,33,-65,93,-13.1,44,-106.5,77,90,113,91,-43,-48,-7
579,3.6842,182,173,476,53,85,-38.9,120,88,110,94,-34,-58,-13
580,0.38321,339,454,720,269.2,232.1,92.9,164,122,137,136,26,6,-16
581,0.12273,130,276,170,30.5,43,47,149,181,196,204,-24,-26,-5
582,0.045488,16,187,5,5.6,15.4,20.5,165,180,208,207,-30,-36,-23
583,10.233,92,126,36,-0.099998,4.2,14.4,163,190,217,228,-11,-18,-13
584,4.6008,5,-10,-59,-1.7,2.9,8.3,179,206,225,229,-17,-42,4
585,2.6523,-69,-128,-149,-5.5,1.7,-0.099998,167,218,223,231,-15,-42,2
586,0.015637,60,-18,-19,-0.7,8.8,-5.2,167,209,226,236,-17,-24,-12
587,0.015278,96,63,65,7.4,13.3,0.9,175,225,231,235,-19,-11,-27
588,0.020195,64,69,50,8.3,10.8,4.8,177,225,230,240,-20,-31,-15
589,0.65109,-1073,-1018,-1166,-58.3,0,-149.6,69,103,116,108,-37,-37,-11
590,0.58268,151,112,-15,-59.2,0,-182.3,80,108,126,110,-34,-42,-4
591,0.61254,281,314,245,30.6,100.2,-97.7,119,106,113,118,-26,-32,-36
592,0.34028,471,592,616,147.7,155.6,31.6,159,155,153,159,23,21,-39
593,0.26258,228,264,563,34.8,37,57.3,159,206,230,234,-30,-32,2
594,0.02577,58,144,231,4.7,13.9,30.8,164,223,247,247,-40,-56,-13
595,0.046431,78,117,9,-0.8,3.1,18.2,168,235,260,283,-11,-22,-15
596,6.8888,35,38,-38,1.9,3.8,12.6,180,238,263,271,-16,-16,-16
597,0.89049,-52,-87,-133,-0.5,2.1,2.8,177,252,267,264,-19,-11,-21
598,0.23764,-32,-113,-136,-2.2,4.8,-6.9,179,251,281,275,-20,-16,-25
599,0.03538,12,-33,-39,7.1,12.5,-1.2,173,261,287,294,-23,-21,-25
600,0.097637,3,19,9,15.3,16.5,6.3,178,285,282,291,-6,-14,-21
601,3.2721,-1511,-1620,-1701,-38.3,77.1,112.4,75,93,103,104,-93,-109,-17
602,0.22145,738,723,988,73.5,87.5,209.1,136,83,94,94,65,60,-32
603,0.77747,224,202,2,8.8,22.1,67.6,146,165,172,180,7,20,-7
604,0.12584,29,84,90,-1.1,12.2,34.2,160,180,199,193,-18,-7,-50
605,0.060115,81,111,352,6.1,11.4,19.3,150,186,217,200,10,26,-48
