Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
116,0.081524,1097,1053,1055,1071,40.9,56.5,54.3,58.2,80,96,112,106,32,21,26,22
117,0.03611,1058,1066,1031,1059,37.5,65.5,60.3,53.7,86,103,106,103,35,26,18,23
118,0.017766,1047,1048,1029,1059,31.6,60.4,53.7,47.8,97,103,103,100,37,24,12,21
119,0.019228,1075,968,1100,1103,25.1,46.2,46.8,47,87,101,110,105,40,14,10,25
120,0.023389,1077,963,1096,1111,29.1,55.9,53.1,44.3,95,101,118,114,40,12,5,20
121,0.024975,1090,995,1050,1075,35.3,63.4,53,42.7,112,108,115,119,33,18,12,16
122,0.018636,1148,1028,1002,965,34.5,56.6,37.6,45,111,119,112,116,33,18,14,12
123,0.020501,1117,1020,1035,978,28.4,51.2,34.8,44.6,106,106,109,118,30,14,16,16
124,0.029194,1038,1052,1095,1045,27.3,43.6,41.3,42.1,106,110,110,120,33,11,21,21
125,0.014214,1056,1077,1107,1044,33.7,42.5,48.7,45.6,105,112,110,114,33,19,26,23
126,0.044298,1083,1086,1117,1048,39.1,40,53.9,51,95,111,115,112,30,17,21,23
127,0.030827,1114,1063,1086,1002,49,49.3,46,76.9,80,103,104,100,29,23,18,18
128,0.028768,1045,1096,1079,1057,42.1,54.7,51,64.1,93,101,99,102,26,24,23,14
129,0.076606,1050,1105,1062,1102,39.6,47.6,43.7,53.2,87,94,107,103,31,22,17,20
130,0.053585,1101,1057,1036,1072,40.7,49.1,48.7,47.2,80,96,112,106,44,27,16,18
131,0.081014,1077,1063,1013,1050,41.2,55.7,50,40.6,86,103,106,103,39,25,10,25
132,0.02844,1041,1069,1018,1046,38.4,52,44.2,40.7,97,103,103,100,43,22,16,22
133,0.011936,1065,1010,1118,1092,25.8,40.4,45.1,47,87,101,110,105,38,10,19,28
134,0.019079,1079,993,1137,1131,26.3,50.2,53,44.1,95,101,118,114,34,14,19,24
135,0.023512,1073,996,1091,1136,33.5,58.9,53.4,41.6,112,108,115,119,37,20,15,14
136,0.1039,1096,1033,977,987,40.2,53.3,39.2,46,111,119,112,116,39,18,18,10
137,0.025331,1095,1040,1005,952,35.2,51.4,38.3,46.9,106,106,109,118,31,12,20,24
138,0.03071,1041,1079,1093,1041,29.3,43.5,40.2,46.2,106,110,110,120,31,16,26,26
139,0.034459,1053,1094,1094,1036,35.2,40.3,43,48.9,105,112,110,114,31,22,24,10
140,0.039417,1086,1102,1087,1030,40.8,40.1,50.5,50.9,95,111,115,112,38,12,16,14
141,0.014579,1207,1028,1089,1120,49.4,29.5,39.9,51.5,84,116,116,120,42,13,21,21
