 ,Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
162,2.2464e+28,1093,341,350,275,80.8,147,80.1,219.5,72,40,51,47,8,0,7,1
163,2.1006e+28,1850,362,187,216,90.6,141.3,185.4,126.1,54,10,34,44,8,3,9,1
164,2.5487e+05,987,330,237,250,93.7,63.6,139.1,92.5,57,7,17,22,25,1,7,1
165,1.9864e+23,644,245,262,824,95.4,55.3,77.9,30.6,45,17,17,8,21,5,1,3
166,5.8306e+28,544,227,309,1084,93.8,113.8,83.1,76.9,116,33,25,30,16,0,1,5
167,2.7271e+29,199,232,294,314,84.7,129.8,190.9,119.6,53,50,16,46,63,7,5,3
168,4.4489e+36,199,556,436,458,88.7,38.7,216.5,113.7,19,63,26,31,77,5,3,1
169,7.7823e+19,315,527,231,218,88.8,78,130.9,86.8,40,34,23,26,0,4,4,0
170,Inf,584,457,217,320,97.6,245.5,98.2,66.6,21,25,7,27,4,4,2,0
171,2.8846e+30,302,184,232,255,119.3,132.4,79.8,169.6,23,25,12,22,8,0,2,0
172,Inf,260,188,277,301,91.3,90.3,117.2,290,34,6,22,6,12,8,14,0
173,2.6053e+34,254,232,405,258,62.1,96.2,193.4,221.2,50,10,22,17,6,10,17,2
174,Inf,290,574,696,376,81.4,162.4,142.3,182.9,90,21,24,20,4,4,6,10
175,2.8917e+12,766,765,620,483,81.9,142.9,72.8,220,101,16,10,11,8,2,6,10
176,1.3611e+11,609,512,438,224,84.4,153.6,58.4,191.4,72,40,51,47,6,6,8,0
177,2.2933e+20,811,292,252,212,93.5,66.1,195.3,92.2,54,10,34,44,0,8,8,0
178,9.2596e+25,841,371,199,188,93.2,50.7,122.3,95.4,57,7,17,22,10,0,0,4
179,1.1522e+15,578,289,259,587,95.4,54.9,65.6,47.2,45,17,17,8,10,4,2,0
180,Inf,563,261,256,832,102.3,103,73.4,47.5,116,33,25,30,32,4,2,4
181,6.6567e+19,199,254,237,448,95.6,121,162.8,100.4,53,50,16,46,89,2,6,8
182,1.0934e+22,227,437,321,409,77,58.1,378.4,163.9,19,63,26,31,85,6,6,8
183,Inf,318,328,181,210,313.3,117.8,101.4,130.4,65,17,11,8,2,6,2,0
184,Inf,275,300,164,238,185.4,99.7,108.1,149.5,51,18,18,13,4,8,10,10
185,1.4891e+34,257,175,223,595,125.7,187.4,112.3,170.8,7,34,31,28,8,0,6,8
186,5.2925e+08,264,236,476,786,104.7,199.2,155.4,147.5,33,24,37,14,14,8,8,0
187,1.6582e+21,275,276,885,1024,71.2,152.4,223.9,92,23,19,34,32,8,0,8,4
188,8.8641e+23,358,617,740,195,47.4,74.4,153.6,31,73,14,8,24,19,0,6,4
189,Inf,527,613,326,472,68,89.8,30.7,33.4,135,17,9,36,12,6,0,4
190,Inf,480,693,280,223,88.2,234.6,40.6,78,138,27,11,11,0,4,0,6
191,1.6986e+22,360,243,317,157,117.4,198.1,115.8,68.8,86,20,33,20,10,4,0,2
192,Inf,480,267,320,138,110,65.9,91.7,53.8,41,8,21,16,10,2,2,8
193,1.7768e+26,571,324,170,366,77.7,136.1,53.2,77.4,53,9,26,21,23,12,0,4
194,Inf,208,299,190,425,154.6,158,69.6,59.6,90,29,25,52,42,8,8,0
195,4.1987e+27,171,299,271,550,312.7,112.8,95.4,36.3,76,56,46,71,94,4,4,8
196,Inf,193,306,239,569,45.5,69.2,159.7,60.8,44,54,35,23,83,6,16,10
197,Inf,554,354,233,236,173.9,175.8,96.3,129.6,65,17,11,8,2,7,1,1
198,3.1841e+15,481,335,203,269,138.6,114.2,97.4,175.7,51,18,18,13,0,3,5,1
199,1.8209e+36,257,218,259,875,159,102.6,113,226.1,7,34,31,28,4,1,3,1
200,Inf,336,202,538,926,140.9,124,168.3,144,33,24,37,14,8,1,7,5
201,3.1155e+20,253,239,851,782,86.6,108.1,404.2,89.2,23,19,34,32,10,0,5,3
202,Inf,283,391,533,315,33.1,58.8,55.4,34.2,73,14,8,24,12,7,1,1
203,8.1142e+18,473,722,258,606,63.4,81.1,32.8,41.8,135,17,9,36,12,3,0,1
204,Inf,418,669,215,240,92.9,235.9,89.1,71.5,138,27,11,11,6,1,1,7
205,9.6955e+25,163,485,306,185,152.6,256.5,111.2,89.4,86,20,33,20,0,0,7,0
