Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
205,2.6136,1024,1307,1347,1340,57.7,60.3,54.1,64.3,175,271,289,289,103,92,82,54
206,2.6975,1185,1374,1426,1453,72.4,79.7,69.6,70.6,177,267,314,285,70,91,84,59
207,3.6029,1440,1395,1444,1468,104.5,84.3,81.9,71.3,172,299,324,309,126,82,63,59
208,10.331,1773,1428,1446,1480,175.5,99.2,85.4,73.3,167,331,347,332,163,82,61,51
209,0.57457,1042,1147,1141,1149,57.6,43.7,39.9,49.4,163,265,256,261,89,74,78,64
210,0.57092,1005,1150,1160,1136,55.8,40.4,41.1,50.1,163,272,281,273,84,77,82,54
211,0.7391,989,1235,1207,1186,49.6,72.5,64.3,64.2,173,266,272,271,99,90,78,56
212,1.5951,994,1265,1241,1238,51.3,82.8,71.1,65.1,161,267,278,277,94,102,82,63
213,2.4184,1013,1302,1296,1296,57.1,76.7,71.5,63.4,161,274,290,289,92,96,76,54
214,2.1317,1229,1385,1418,1435,79.1,78.2,69.1,65.7,165,257,307,296,76,108,84,47
215,2.8788,1515,1407,1451,1495,108.5,86.5,71,68.2,167,289,322,309,114,87,56,52
216,10.706,2047,1425,1462,1526,178.2,100.9,73.4,70.9,153,339,330,307,133,93,53,45
217,0.48471,985,1156,1147,1116,56,42.7,41.8,51,163,272,281,273,95,72,78,55
218,0.84127,984,1246,1214,1187,51,66.1,50.8,64.9,173,266,272,271,104,78,72,51
219,1.7225,996,1287,1259,1236,51.7,79.6,59.9,71.2,161,267,278,277,95,93,80,55
220,2.4465,1020,1321,1306,1278,57.5,81.7,72.8,72.4,161,274,290,289,97,90,75,42
221,2.4345,1263,1403,1398,1392,84,80.2,83.9,72.4,165,257,307,296,90,92,84,54
222,3.46,1563,1433,1439,1474,116.6,85.8,78.2,74.8,167,289,322,309,86,74,59,40
223,11.539,2068,1447,1466,1540,185.8,101.3,73.5,77.3,153,339,330,307,115,89,64,32
224,0.41967,969,1177,1168,1067,54,48.6,50.8,51.8,157,261,260,257,87,94,64,60
225,0.86963,964,1219,1199,1152,54,53,37.8,58.9,170,268,262,267,93,84,61,53
226,1.6413,999,1271,1261,1236,56.2,54.4,41.6,74.7,161,264,266,253,98,84,74,57
227,2.4125,1061,1323,1335,1312,61.3,69.6,59.2,88.6,160,252,267,258,108,78,75,55
228,3.4089,1375,1405,1422,1401,94.1,89.6,91.8,100,159,258,276,276,74,87,70,59
229,6.3058,1665,1425,1437,1440,130.6,86.9,84.4,99,159,281,295,285,88,75,70,47
