Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
100,219.18,-216,-215,-139,-18.8,-19.2,-15.4,198,421,399,395,-19,-36,-16
101,2.1252,148,130,166,-3.5,2,13.8,213,448,487,520,-9,-20,-15
102,4.947,176,139,129,5.7,10.4,25.6,200,412,405,416,-31,-29,-8
103,11.522,168,165,83,11.1,16.7,15.4,204,374,407,399,-31,-52,4
104,23.751,137,148,103,-1.1,7.8,-0.8,214,400,403,409,-41,-55,-10
105,100.6,68,64,90,-13.9,-2.7,-10.5,215,396,385,396,-29,-41,-6
106,571.93,-251,-283,-194,-25,-21.8,-14.5,198,421,399,395,-19,-37,-15
107,5.3088,200,145,190,6.1,7.4,35.9,196,371,397,398,-22,-30,-27
108,14.229,198,167,123,11.4,16.1,19.9,216,393,427,420,-15,-51,0
109,26.621,150,137,111,4.5,12.6,7.7,207,392,420,404,-20,-50,-1
110,98.426,64,46,66,-8.8,2.8,-2.9,217,392,408,390,-29,-40,-11
111,524.45,-304,-350,-279,-35.2,-29.2,-23.7,208,380,398,395,-14,-25,-21
112,3.5003,242,185,287,19.2,14.7,51.6,196,371,397,398,-33,-41,-15
113,7.2205,200,169,181,4.9,6.4,17.2,216,393,427,420,-13,-18,-39
114,13.058,113,94,85,3.9,7,18.3,207,392,420,404,-33,-44,-18
115,47.776,-12,-27,-71,-0.3,2.9,17.1,217,392,408,390,-50,-55,-23
116,224.81,-580,-574,-693,-45.4,-45.2,-38.6,208,380,398,395,-16,-44,-18
117,1.2903,249,208,272,23.2,21.4,46.3,198,395,435,427,-68,-63,-12
118,2.6079,165,170,175,2,4.7,11.2,211,431,449,454,-15,-20,-48
119,8.4041,66,73,61,-1,1.6,13.2,212,412,426,420,-22,-33,-25
120,2128.8,-68,-69,-146,-3.5,-2.2,13.7,213,405,413,403,-26,-39,-24
121,93.644,-590,-562,-773,-45.7,-50,-39.7,216,380,410,421,-8,-31,-15
122,1.4906,122,159,159,9.3,12,10.9,211,431,449,454,2,-21,-2
123,4.7885,27,62,40,-2.3,0.4,4.5,212,412,426,420,-20,-41,-14
124,13.125,-100,-70,-158,-12.6,-11,-6.6,213,405,413,403,-16,-39,-7
125,3.9699,187,201,295,6.5,12.5,12.7,210,292,321,330,-7,-31,-4
126,5.8121,101,111,163,-8.3,-2,-6.7,212,323,330,345,-7,-31,-14
127,38.309,-11,2,-48,-20.8,-15,-19.3,206,307,334,332,-43,-66,-14
128,215.46,-251,-288,-453,-28.7,-27.7,-29,199,328,346,337,-55,-73,-31
129,4.1147,144,150,275,1.2,12.3,22.8,199,542,572,575,5,-23,-4
130,7.4802,163,169,311,5.3,8.6,10.2,220,344,383,400,-25,-55,-6
131,21.652,108,105,156,1.4,3.4,8.8,212,368,365,396,-16,-28,-20
