Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
181,0.011262,-4,6,-21,0.7,-0.6,1.2,135,55,82,84,13,-15,-4
182,0.034371,-2,-19,-31,1.3,-0.3,0.3,121,31,91,66,16,20,0
183,0.11734,47,41,51,-1.3,-2.7,4,98,120,142,129,-8,-2,7
184,0.014059,65,60,63,0.5,-2.2,3.5,101,126,111,147,-13,-3,9
185,0.010747,57,27,37,-4.6,-3.7,0.5,96,115,111,151,-6,2,-10
186,0.015774,59,8,22,-5,-3.7,0.2,99,127,144,138,-13,15,-24
187,0.59818,59,13,19,-2.3,-3.8,1,97,116,150,155,-11,3,-3
188,0.010279,33,40,28,-0.9,-5.2,0.2,113,134,155,150,3,12,2
189,0.034445,23,33,23,-2.2,-3.8,0.7,116,158,169,163,25,14,5
190,0.11302,24,18,19,-2.3,-1.7,1.7,105,135,159,151,15,-4,9
191,0.3501,40,21,26,3.3,0.8,4.9,119,115,124,141,25,10,-19
192,0.081755,41,19,18,4.5,1.5,5.1,122,102,97,128,15,-1,-3
193,0.020002,23,10,-19,3.1,1.6,4.2,119,78,99,132,8,-3,6
194,0.16957,22,17,-19,1.6,-0.2,3.2,127,59,102,151,14,6,-15
195,0.0071079,28,27,-7,1.4,-0.2,2.6,135,55,82,84,28,4,0
196,0.045286,30,14,10,2.9,3.4,2.9,121,31,91,66,3,2,17
197,0.097957,26,20,43,-1.4,-1.4,5.8,100,123,114,121,-3,5,-1
198,0.31093,34,40,48,1.9,-1.1,6.2,103,109,108,123,-5,-3,3
199,0.094442,31,14,22,-1.2,-2.9,2.9,108,112,115,128,-1,3,-5
200,1.7718,28,-11,4,-3.3,-3.1,2,103,114,123,111,-14,-2,-5
201,1.4835,31,-4,1,-3.5,-3.6,2,115,116,138,130,-8,-6,20
202,0.092334,39,46,20,-2.8,-5.4,0,115,130,144,155,15,1,9
203,0.033039,32,40,22,-3.1,-5.2,-0.2,115,119,152,150,26,11,-3
204,2.8448,25,23,18,-1.9,-2.5,2.2,114,124,157,158,14,-14,0
205,0.81759,48,23,25,4.1,1.8,6.4,114,137,171,156,22,-2,2
206,0.061588,61,35,31,5.5,3.1,6.4,125,134,145,155,22,-2,11
207,0.029885,38,18,-2,4.1,3.6,4.8,119,120,135,146,11,-8,13
208,0.26856,35,15,-16,2.4,1.4,4.1,127,105,136,149,3,-1,0
209,0.046945,42,27,-6,1.8,-0.1,3,130,92,111,144,7,-23,10
210,0.073342,43,24,29,3.2,1.9,2.2,115,102,94,145,-19,-25,29
211,0.012906,1,2,25,-1.7,-1.7,4.9,100,123,114,121,0,3,-9
212,0.22191,-3,10,21,0.5,-1.6,5.2,103,109,108,123,-2,-11,8
213,0.10929,3,5,2,3.2,-3.3,4,108,112,115,128,0,-6,4
214,0.35814,1,-14,-7,1.1,-2.7,3.9,103,114,123,111,-11,-9,7
215,0.0070543,2,-11,-7,-1.4,-2,4.1,115,116,138,130,-21,-11,13
216,6.0689,32,43,16,-4.7,-4,0.099998,115,130,144,155,5,-17,14
217,0.016661,44,45,30,-3.6,-4.1,-0.7,115,119,152,150,4,4,-24
218,0.42413,42,29,31,-0.9,-2.4,1.3,114,124,157,158,22,-13,-3
219,0.011674,55,30,29,5.2,1.7,6.3,114,137,171,156,30,10,0
220,0.018216,72,44,35,5.7,2.6,5.8,125,134,145,155,2,0,6
221,0.033863,57,27,20,4.2,3.3,4.3,119,120,135,146,13,-21,18
222,0.080414,50,23,1,2.7,1.3,3.5,127,105,136,149,-17,-29,0
223,0.046911,54,26,-6,1.9,-0.7,2.1,130,92,111,144,-38,-40,-11
224,0.03374,50,26,26,3.1,-1.2,0.4,115,102,94,145,-22,-33,35
225,0.01787,-21,10,-7,-0.3,-0.8,3.5,107,122,137,135,-7,-6,5
226,0.0068183,-15,-4,-16,-1.2,0.7,3.1,96,113,149,129,-10,-14,2
227,0.011024,-5,-10,-19,7.1,-0.3,5.5,102,108,162,131,-10,0,6
